"link","started","ended","page","url","new"
"https://www.nytimes.com/2017/08/09/world/asia/north-korea-trump-threat-fire-and-fury.html","2017-08-09 19:14:31.451722",,"https://nytimes.com","https://www.nytimes.com/2017/08/09/world/asia/north-korea-trump-threat-fire-and-fury.html",FALSE
"https://www.nytimes.com/2017/08/09/world/asia/north-korea-trump-threat-fire-and-fury.html?hp&target=comments#commentsContainer","2017-08-09 19:14:31.990094",,"https://nytimes.com","https://www.nytimes.com/2017/08/09/world/asia/north-korea-trump-threat-fire-and-fury.html",FALSE
"https://www.nytimes.com/2017/08/09/us/politics/trump-north-korea.html","2017-08-09 19:14:32.293419",,"https://nytimes.com","https://www.nytimes.com/2017/08/09/us/politics/trump-north-korea.html",FALSE
