"url","last_checked","first_checked"
"https://www.nytimes.com/2017/08/09/world/asia/north-korea-trump-threat-fire-and-fury.html","2017-08-09 19:14:41.786985","2017-08-09 19:14:36.035189"
"https://www.nytimes.com/2017/08/09/us/politics/trump-north-korea.html","2017-08-09 19:14:46.726737","2017-08-09 19:14:46.726737"
